source,term,start_date,end_date,count,enabled,created_on,last_updated,comment
national-endowment-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,federal,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,federal,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,federal,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,federal,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,federal,1/1/2000,1/1/2020,,,,,
california-humanities,federal,1/1/2000,1/1/2020,,,,,
colorado-humanities,federal,1/1/2000,1/1/2020,,,,,
connecticut-humanities,federal,1/1/2000,1/1/2020,,,,,
delaware-humanities,federal,1/1/2000,1/1/2020,,,,,
humanities-dc,federal,1/1/2000,1/1/2020,,,,,
florida-humanities-council,federal,1/1/2000,1/1/2020,,,,,
georgia-humanities,federal,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,federal,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,federal,1/1/2000,1/1/2020,,,,,
illinois-humanities,federal,1/1/2000,1/1/2020,,,,,
indiana-humanties,federal,1/1/2000,1/1/2020,,,,,
humanities-iowa,federal,1/1/2000,1/1/2020,,,,,
humanities-kansas,federal,1/1/2000,1/1/2020,,,,,
kentucky-humanities,federal,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
maine-humanities-council,federal,1/1/2000,1/1/2020,,,,,
maryland-humanities,federal,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,federal,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,federal,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,federal,1/1/2000,1/1/2020,,,,,
mississippi-humanities,federal,1/1/2000,1/1/2020,,,,,
missouri-humanities,federal,1/1/2000,1/1/2020,,,,,
humanities-montana,federal,1/1/2000,1/1/2020,,,,,
humanities-nebraska,federal,1/1/2000,1/1/2020,,,,,
nevada-humanities,federal,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,federal,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,federal,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,federal,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,federal,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,federal,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,federal,1/1/2000,1/1/2020,,,,,
ohio-humanities,federal,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,federal,1/1/2000,1/1/2020,,,,,
oregon-humanities,federal,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,federal,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,federal,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,federal,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,federal,1/1/2000,1/1/2020,,,,,
humanities-tennessee,federal,1/1/2000,1/1/2020,,,,,
humanities-texas,federal,1/1/2000,1/1/2020,,,,,
utah-humanities,federal,1/1/2000,1/1/2020,,,,,
vermont-humanities,federal,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,federal,1/1/2000,1/1/2020,,,,,
virginia-humanities,federal,1/1/2000,1/1/2020,,,,,
humanities-washington,federal,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,federal,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,federal,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,federal,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,museum,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,museum,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,museum,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,museum,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,museum,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,museum,1/1/2000,1/1/2020,,,,,
california-humanities,museum,1/1/2000,1/1/2020,,,,,
colorado-humanities,museum,1/1/2000,1/1/2020,,,,,
connecticut-humanities,museum,1/1/2000,1/1/2020,,,,,
delaware-humanities,museum,1/1/2000,1/1/2020,,,,,
humanities-dc,museum,1/1/2000,1/1/2020,,,,,
florida-humanities-council,museum,1/1/2000,1/1/2020,,,,,
georgia-humanities,museum,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,museum,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,museum,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,museum,1/1/2000,1/1/2020,,,,,
illinois-humanities,museum,1/1/2000,1/1/2020,,,,,
indiana-humanties,museum,1/1/2000,1/1/2020,,,,,
